0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1.45399,-2.794675,0.732428,0.118322,-0.100993,-0.740641,0.653644,-0.150211,-0.168247,0.397149,0.33287,-0.205901,-0.068793,-0.433725,-0.420728,-0.257446,0.898879,-0.618246,0.000229,-0.108802,0.545385,0.812447,1.300825,-0.62456,-1.871212,-0.007663
1.454015,-2.795081,0.732307,0.118582,-0.101141,-0.74058,0.653644,-0.150443,-0.168669,0.397235,0.334146,-0.206763,-0.068904,-0.43405,-0.421678,-0.257155,0.900299,-0.619303,0.000618,-0.108337,0.545859,0.81224,1.299793,-0.625049,-1.87254,-0.006258
1.454037,-2.795478,0.732203,0.118806,-0.101207,-0.740493,0.653691,-0.150759,-0.168912,0.397218,0.335403,-0.207598,-0.069029,-0.434257,-0.422447,-0.256968,0.901477,-0.620247,0.000972,-0.107908,0.54589,0.812229,1.29839,-0.62502,-1.873731,-0.005574
1.454061,-2.79586,0.732105,0.119013,-0.10128,-0.740378,0.653772,-0.151055,-0.169202,0.397138,0.336577,-0.208358,-0.06923,-0.434375,-0.423232,-0.256942,0.90258,-0.621143,0.001296,-0.107497,0.545749,0.812408,1.296917,-0.625026,-1.874616,-0.005368
1.454097,-2.796229,0.732015,0.119217,-0.101362,-0.740226,0.653895,-0.15127,-0.169543,0.396935,0.337594,-0.209023,-0.069412,-0.434436,-0.424088,-0.257031,0.90365,-0.622022,0.001592,-0.107176,0.545622,0.812767,1.295795,-0.625554,-1.87514,-0.005356
1.454138,-2.796592,0.731935,0.119452,-0.101461,-0.74001,0.654081,-0.151438,-0.170028,0.396529,0.338374,-0.209558,-0.069496,-0.434446,-0.425077,-0.257278,0.904678,-0.622908,0.001851,-0.106721,0.545242,0.813037,1.295092,-0.626775,-1.87541,-0.005207
1.45416,-2.796964,0.731866,0.119735,-0.101558,-0.739768,0.654288,-0.151534,-0.170614,0.396047,0.338849,-0.209966,-0.06963,-0.434437,-0.426108,-0.257588,0.905592,-0.623777,0.002073,-0.106172,0.544406,0.81299,1.294974,-0.628407,-1.876194,-0.004547
1.454175,-2.797347,0.731813,0.120138,-0.101586,-0.739533,0.654475,-0.15167,-0.171325,0.395589,0.33889,-0.210219,-0.069773,-0.434671,-0.427137,-0.257819,0.906397,-0.624586,0.0023,-0.105602,0.543811,0.812717,1.295287,-0.629927,-1.876927,-0.003752
1.454169,-2.797705,0.731774,0.120624,-0.101559,-0.739338,0.654611,-0.15181,-0.172093,0.39521,0.3385,-0.21029,-0.069935,-0.435151,-0.428076,-0.257906,0.907082,-0.625283,0.002507,-0.10513,0.543862,0.812174,1.295948,-0.630769,-1.877311,-0.00306
1.454054,-2.798012,0.731732,0.121029,-0.101458,-0.739207,0.6547,-0.151993,-0.172436,0.39494,0.338207,-0.210407,-0.070231,-0.435601,-0.428548,-0.25801,0.90764,-0.625907,0.002578,-0.104765,0.544322,0.811591,1.296863,-0.630978,-1.877277,-0.002529
1.453961,-2.798304,0.731689,0.121366,-0.101403,-0.739085,0.654783,-0.15211,-0.172757,0.394682,0.338078,-0.210642,-0.070477,-0.435894,-0.429037,-0.258145,0.908139,-0.626435,0.002809,-0.104423,0.54496,0.810839,1.297869,-0.631081,-1.877244,-0.002078
1.453898,-2.798605,0.731638,0.121619,-0.101404,-0.738941,0.654899,-0.152156,-0.173058,0.39432,0.338213,-0.21101,-0.070675,-0.435944,-0.429594,-0.258387,0.908664,-0.626976,0.003092,-0.104066,0.545319,0.810111,1.298684,-0.631282,-1.877277,-0.001412
1.453856,-2.798924,0.731579,0.121803,-0.101449,-0.73874,0.655085,-0.152166,-0.173341,0.393793,0.338608,-0.211491,-0.070825,-0.435752,-0.430243,-0.258815,0.909262,-0.627604,0.003258,-0.103641,0.545034,0.809419,1.299131,-0.631838,-1.877184,-0.000488
1.453844,-2.799254,0.731505,0.121956,-0.101504,-0.738482,0.655338,-0.152226,-0.173635,0.393063,0.339212,-0.212158,-0.070939,-0.435468,-0.430992,-0.259403,0.909967,-0.628304,0.003395,-0.103242,0.544589,0.808531,1.299397,-0.632592,-1.876898,0.000655
1.453876,-2.799599,0.73141,0.122095,-0.101573,-0.738176,0.655646,-0.152389,-0.173952,0.39226,0.340136,-0.213057,-0.070978,-0.435176,-0.431904,-0.260082,0.910882,-0.629108,0.00359,-0.103031,0.54423,0.807427,1.299873,-0.633353,-1.87629,0.001755
1.453937,-2.799967,0.731268,0.122234,-0.101695,-0.73783,0.65599,-0.152766,-0.174285,0.391406,0.341674,-0.21428,-0.070972,-0.43498,-0.433058,-0.260762,0.912253,-0.630158,0.003868,-0.102943,0.544196,0.806047,1.300654,-0.63398,-1.875522,0.002251
1.453956,-2.800333,0.731066,0.122395,-0.101864,-0.737442,0.656371,-0.153471,-0.1745,0.39054,0.34397,-0.215773,-0.071076,-0.434994,-0.434367,-0.261409,0.914182,-0.631478,0.004107,-0.10308,0.545042,0.804186,1.301658,-0.634345,-1.874848,0.002185
